# Generated by tools/wikidata-sweep.js --sitelink en — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 11343 channels, swept 2026-08-16 (run in two batches: shard 1 alone, then
# shards 2-9 together, since shard 1 alone already returned ~50k raw rows).
#
# Next:  node tools/add-candidates.js catalog/reach-10.txt

UC--LAVm36WiCmqQbekV17qQ  # Q61493249
UC--zl6ugn42K16BJ_bPmAOQ  # Kamaiyah
UC--zvywzq36zjSM40k5QE9g  # The Dirty Youth
UC-01QNiLzNMVIQDKs1bqtDw  # Sarah Jane Morris
UC-02W-VT3MkJ1mdyQiy0Q8w  # Trevi Moran
UC-0Urs9tifl-7DDE1RLbBHQ  # Scarlxrd
UC-0uKZBLS8Jed_rvo0_srZw  # Crooked Still
UC-1dnd5sdAQXHLCfDFTsFKg  # Struggle Jennings
UC-1iPGVFQhlc2FX-L3tUG-A  # Wild Party
UC-1k7y80RAIK_JlXP8WlDDw  # The Temper Trap
UC-2EEGGKW0UFQN1sfz3Q34A  # GoGo Penguin
UC-2xqabDwW1k9XjLuKeSyJQ  # Jennifer Paige
UC-37BJOAtN0gq1m8L-QNQxA  # James Newton Howard
UC-4NAdFIP6h9BmtGUFL94Pg  # Carly Rae Jepsen
UC-4mIX9ls8ROVk9ApfeYf5w  # French Montana
UC-4xJeSJAakTGrFRS5fZikA  # Kid Beyond
UC-5Dn8-Nt42gSQVwtZw4e6A  # Jamie Grace
UC-6mfQSP-XTly0HxJkPUkog  # Q16205240
UC-716wgP94vhil91RVJwaIQ  # Jon Lajoie
UC-71RgMcyS02ObeFXg81SAw  # Gary Barlow
UC-8Rowy2WAwvYo8e0pM_6ew  # Andie Case
UC-8c9kzbfdGmBx5XmQ0EI6Q  # Broadside
UC-8rZyq39_FXBBSf4cseehQ  # Yard Act
UC-9mlH6az1Q_XUP3fw1N4Fg  # Steven Wilson
UC-9v3jbDB_nDoSDyoSaH4jA  # Lili Haydn
UC-A8ZpuM0FrUZ9NJf4O1vFw  # Ryan Shakes
