# Generated by tools/wikidata-sweep.js — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 4538 channels, swept 2026-08-16.
#
# Next:  node tools/add-candidates.js catalog/reach-12.txt
# 99 of 4538 are new (not already in candidates.json)

UCl4jxe5kkP8DMGQe0b1AFqQ  # Carver Alan Ames
UCh-FpGqlTJBRz7UDun4OAyg  # Radiator
UC9o7G6G0zZl8sS9g7wQn7VQ  # JLayne
UC7ajKeCvnk7hX3GJnQgQ2pw  # Ivan Bertolla
UCJyyGDIavVlnGs30uHVFtPg  # HeadShy
UCJjz7i74DKHXAAzPL4GWjLQ  # Islah Abdur-Rahman
UCyBTKXBFJOiq6CDP5fj4HNA  # Technohead
UCvycQq5EA5NdF5gv0xcjqwQ  # Q102132158
UCzH-NYNApbUNBk3K5oepxug  # Kaye Lynne Booth
UCj8YcC_hUEhSZivS0co1r4w  # Brooke Houts
UCoUejlZmOM5OjaMZHn4CTDw  # Brooke Houts
UC1WLZ7NIAnU_Vgp0lQTXrCQ  # Andréa Saunier
UC1reRKEEnC41iRwHyKZI39g  # Christine Tassan
UCM-e_n6gf7OD2OK3Fd9g4vQ  # Dr. P
UCGsv1Q7sw7Lbeff3TqL2osw  # Q106800896
UCj2VWHnNNY4ZkOPLBblzQNg  # Jules Marcoux
UC-qa_X-N1_-6FUNqpc7NV6g  # 600Breezy
UC6GapDfQRXzJfL_RDMMZ0Gg  # Q108488433
UCDDC9DRu6ReoLHCdvfUXuyw  # WMG KD
UCIiczHsDSBpqMuNT4W9cclw  # Len Kabasinski
UCmeNL9Nc2H1Mezu3gcb1hlA  # Papa Jake
UCdDaVSRgSQMfAE-XKfackUQ  # Andrew Magdy Kamal
UC1QLW3I7Y6XJJ7wGm3dCyLQ  # cyr
UCK_lpUoYKbzDWNxB7ocSCZQ  # Brittney Moses
UCdpB2VCoBEEV236g4v6EmGA  # Julio Domenech
UC-eoe3fuqDk9_QtQzkaEtwQ  # Eli Karls
UCsRlREM-_M7SukwSryUxEFQ  # Paul Massaro
UCdjR7PgE35mdyBsFzd3QwHQ  # Aeswa
UCiKgYLANRC9UkTQ4N9Q-Gog  # Meisha Lowe
UC0jrIJDNuA9uPQubFeaT-jQ  # The Katie
UCELRjS3u5C-Xoh9eMGxvv8w  # Kristen Lanae
UCuRRtia2rvTCB0Q8fPIAg0g  # Bill Mefford
UCJr4pT4CXeIJkaKHTYV2oIg  # Kristy Sellars
UC5039fsEpY2b8-TFcdl2mnA  # Stratus Chamber Orchestra
UCRiIraJNWPkYzDQX79JbX5Q  # Anna D. Smith
UCfoii7sshY_ORCUUOsDheWw  # Q115264352
UCTmFvNOQBF-0eL9rjG6m2gg  # Q115479506
UCyYlVFMU-vzss5N1s9y02Bg  # White Horse Guitar Club
UC163mS2HFlhSs2OLkE8jYUQ  # Syga Thomas
UC5enaBf2S6wOuJQHJddXpGw  # Rebekah Roth
UCYz_zPMkEBTtzNp-x-aWqGw  # Rebekah Roth
UCqAm0UnJfN9L5dYVMIFu6fg  # Joe SD
