# Generated by tools/wikidata-sweep.js --sitelink not-en — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 4539 channels, swept 2026-08-16 (run in two batches: shard 1 alone, then
# shards 2-9 together, since shard 1 alone already returned ~50k raw rows).
#
# Next:  node tools/add-candidates.js catalog/reach-9.txt

UC--3ozenTzry39-xMqAPQlw  # Heidi Joubert
UC-0DzEnDGV3rXiyn_3HyhYQ  # Q66828754
UC-0OAu4AILw3KRiBhYBLgSA  # My Gloomy Machine
UC-0p0VneIpS14N3QasL1IwA  # Exorcista
UC-2Pz4YPcFTRSq1L83e4xOQ  # Derek Savage
UC-4HMv1j00QTebcFg4mV2DQ  # Paul Barton
UC-4taNWPWCuWVSgh7ipApzw  # Chloe Adams
UC-6XLDcNozqxxjCo53bfpbw  # Stephanie Osorio
UC-7SF2LTV__PyUAw7-wxfnQ  # Curly Head Monty
UC-9V3cG5VP8o3QiRPQ88gug  # Joel Munday
UC-9bNC-flA-tpAZ8Wn3OJSg  # Q134467546
UC-AAyvMfy_jskSDhLX6unzA  # Seth Thomas Crissman
UC-Bx8_wTPUnWm02O2cWqaoQ  # Robert Garven
UC-FEzOHc2R7wqAh5G-6DMvA  # Amandine
UC-Fj_mXEGyKj4SIlPSmqWpg  # Faye Fayerman
UC-G5QRVD9F228TV6TmVXgXg  # Shray Goel
UC-K69u1Taz2rh-kjdGczZuA  # Lara Gatz
UC-OJ-24roEfQ_-PCnLJSckg  # Future Proof
UC-OlRE7cwK-uq9jeWhPNzOA  # Merciful Zero
UC-OmnF8B-amQgTzppOVc5sw  # Fatima Barkatulla
UC-QDZIHLPWms9nRfYllDkXA  # iilluminaughtii
UC-RJWBAnMtDDjB4Es5D3ojQ  # Rain Frances
UC-RQIQ_8tMbbGNurDUp5l7w  # Kaelaris
UC-RiM2sUy5n_Ua3sybCfBMA  # Q107301546
UC-SFdcRXblEmgak_fKmwKMw  # Q139583248
UC-SrCCzkGq0wmSAuRs7EBFg  # Milo Rossi
UC-U5CNV6NEz26for9Ha_7lg  # D.J. Berry
UC-Vy2aYkDEMHZXQmQes9h5Q  # Gabriel Gundacker
UC-XXDBca8DezWQan7P7jbbQ  # Luan Larobina
UC-XYsDNh4-886rMNLnnwR_w  # Andrew Steele
UC-YwSMZvAKgyzqHSkpwUMXA  # Punz
UC-ZVTPbt_Nq4wj4Y6Rs7eQw  # Bryce McKenzie
UC-_31reGVWOWbYoG4A5Kj2g  # Sarah Savage
UC-_EFqu1ZDLnpf60yV6X8jg  # Link Strummer
UC-bK_5VHenD3RVkrxr9D0Fg  # Shockpowder
